method,workers,epoch,epoch_time_sec,train_loss,test_accuracy
single,1,1,0.43493350001517683,2.294153243303299,10.15625
single,1,2,0.40437789997668006,2.2529502511024475,11.328125
single,1,3,0.42264830000931397,2.2181176245212555,47.265625
parameter-server,2,1,0.3146848000178579,2.294854909181595,10.15625
parameter-server,2,2,0.3264435000019148,2.25340473651886,12.109375
parameter-server,2,3,0.3059169999905862,2.2185535430908203,45.703125
parameter-server,4,1,0.2530891999776941,2.2943973913788795,10.15625
parameter-server,4,2,0.25568319999729283,2.252711072564125,14.84375
parameter-server,4,3,0.24106629999005236,2.219026744365692,42.578125
ring,2,1,0.31247269999585114,2.294854909181595,10.15625
ring,2,2,0.28077810001559556,2.25340473651886,12.109375
ring,2,3,0.30772979999892414,2.2185535430908203,45.703125
ring,4,1,0.24228870001388714,2.29439739882946,10.15625
ring,4,2,0.2676451999868732,2.2527110800147057,14.84375
ring,4,3,0.2666697000095155,2.219026744365692,42.578125
ddp,2,1,0.3528636999835726,2.294854909181595,10.15625
ddp,2,2,0.32131530001061037,2.25340473651886,12.109375
ddp,2,3,0.31422920001205057,2.2185535430908203,45.703125
ddp,4,1,0.2568049000110477,2.29439739882946,10.15625
ddp,4,2,0.2449006999959238,2.2527110651135445,14.84375
ddp,4,3,0.24002810000092722,2.219026744365692,42.578125
